tiempo,i_areas,m_areas,c_areas
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,0,0,0
2024,0,0,0
2025,0,0,0
2026,0,0,0
2027,0,0,0
2028,0,0,0
2029,0,0,0
2030,0,0,0
2031,0,0,0
2032,0,0,0
2033,0,0,0
2034,0,0,0
2035,0,0,0
2036,0,0,0
2037,0,0,0
2038,0,0,0
2039,0,0,0
2040,0,0,0
2041,0,0,0
2042,0,0,0
2043,0,0,0
2044,0,0,0
2045,0,0,0
2046,0,0,0
2047,0,0,0
2048,0,0,0
2049,0,0,0
2050,0,0,0
1990,0.1,0,0
1991,0.1,0,0
1992,0.1,0,0
1993,0.1,0,0
1994,0.1,0,0
1995,0.1,0,0
1996,0.1,0,0
1997,0.1,0,0
1998,0.1,0,0
1999,0.1,0,0
2000,0.1,0,0
2001,0.1,0,0
2002,0.1,0,0
2003,0.1,0,0
2004,0.1,0,0
2005,0.1,0,0
2006,0.1,0,0
2007,0.1,0,0
2008,0.1,0,0
2009,0.1,0,0
2010,0.1,0,0
2011,0.1,0,0
2012,0.1,0,0
2013,0.1,0,0
2014,0.1,0,0
2015,0.1,0,0
2016,0.1,0,0
2017,0.1,0,0
2018,0.1,0,0
2019,0.1,0,0
2020,0.1,0,0
2021,0.1,0,0
2022,0.1,0,0
2023,0.1,0,0
2024,0.1,0,0
2025,0.1,0.0622872,1.0445178
2026,0.1,0.0622872,0.0108384
2027,0.1,0.0622872,0.0110469
2028,0.1,0.0622872,0.0112553
2029,0.1,0.0622872,0.0114637
2030,0.1,0.1245744,1.0572321
2031,0.1,0.1245744,0.0237612
2032,0.1,0.1245745,0.024178
2033,0.1,0.1245744,0.0245949
2034,0.1,0.1245745,0.0250117
2035,0.1,0.1868616,1.0720307
2036,0.1,0.1868616,0.0387682
2037,0.1,0.1868616,0.0393935
2038,0.1,0.1868617,0.0400188
2039,0.1,0.1868617,0.0406441
2040,0.1,0.2491489,1.0889136
2041,0.1,0.2491489,0.0558595
2042,0.1,0.2491489,0.0566933
2043,0.1,0.2491488,0.057527
2044,0.1,0.2491489,0.0583607
2045,0.1,0.3114361,1.1078809
2046,0.1,0.3114361,0.0750352
2047,0.1,0.3114361,0.0760774
2048,0.1,0.3114361,0.0771195
2049,0.1,0.3114361,0.0781617
2050,0.1,0.3737233,1.1289324
1990,0.2,0,0
1991,0.2,0,0
1992,0.2,0,0
1993,0.2,0,0
1994,0.2,0,0
1995,0.2,0,0
1996,0.2,0,0
1997,0.2,0,0
1998,0.2,0,0
1999,0.2,0,0
2000,0.2,0,0
2001,0.2,0,0
2002,0.2,0,0
2003,0.2,0,0
2004,0.2,0,0
2005,0.2,0,0
2006,0.2,0,0
2007,0.2,0,0
2008,0.2,0,0
2009,0.2,0,0
2010,0.2,0,0
2011,0.2,0,0
2012,0.2,0,0
2013,0.2,0,0
2014,0.2,0,0
2015,0.2,0,0
2016,0.2,0,0
2017,0.2,0,0
2018,0.2,0,0
2019,0.2,0,0
2020,0.2,0,0
2021,0.2,0,0
2022,0.2,0,0
2023,0.2,0,0
2024,0.2,0,0
2025,0.2,0.1245744,2.0890356
2026,0.2,0.1245744,0.0216768
2027,0.2,0.1245744,0.0220938
2028,0.2,0.1245744,0.0225106
2029,0.2,0.1245744,0.0229274
2030,0.2,0.2491488,2.1144642
2031,0.2,0.2491488,0.0475224
2032,0.2,0.249149,0.048356
2033,0.2,0.2491488,0.0491898
2034,0.2,0.249149,0.0500234
2035,0.2,0.3737232,2.1440614
2036,0.2,0.3737232,0.0775364
2037,0.2,0.3737232,0.078787
2038,0.2,0.3737234,0.0800376
2039,0.2,0.3737234,0.0812882
2040,0.2,0.4982978,2.1778272
2041,0.2,0.4982978,0.111719
2042,0.2,0.4982978,0.1133866
2043,0.2,0.4982976,0.115054
2044,0.2,0.4982978,0.1167214
2045,0.2,0.6228722,2.2157618
2046,0.2,0.6228722,0.1500704
2047,0.2,0.6228722,0.1521548
2048,0.2,0.6228722,0.154239
2049,0.2,0.6228722,0.1563234
2050,0.2,0.7474466,2.2578648
1990,0.3,0,0
1991,0.3,0,0
1992,0.3,0,0
1993,0.3,0,0
1994,0.3,0,0
1995,0.3,0,0
1996,0.3,0,0
1997,0.3,0,0
1998,0.3,0,0
1999,0.3,0,0
2000,0.3,0,0
2001,0.3,0,0
2002,0.3,0,0
2003,0.3,0,0
2004,0.3,0,0
2005,0.3,0,0
2006,0.3,0,0
2007,0.3,0,0
2008,0.3,0,0
2009,0.3,0,0
2010,0.3,0,0
2011,0.3,0,0
2012,0.3,0,0
2013,0.3,0,0
2014,0.3,0,0
2015,0.3,0,0
2016,0.3,0,0
2017,0.3,0,0
2018,0.3,0,0
2019,0.3,0,0
2020,0.3,0,0
2021,0.3,0,0
2022,0.3,0,0
2023,0.3,0,0
2024,0.3,0,0
2025,0.3,0.1868616,3.1335534
2026,0.3,0.1868616,0.0325152
2027,0.3,0.1868616,0.0331407
2028,0.3,0.1868616,0.0337659
2029,0.3,0.1868616,0.0343911
2030,0.3,0.3737232,3.1716963
2031,0.3,0.3737232,0.0712836
2032,0.3,0.3737235,0.072534
2033,0.3,0.3737232,0.0737847
2034,0.3,0.3737235,0.0750351
2035,0.3,0.5605848,3.2160921
2036,0.3,0.5605848,0.1163046
2037,0.3,0.5605848,0.1181805
2038,0.3,0.5605851,0.1200564
2039,0.3,0.5605851,0.1219323
2040,0.3,0.7474467,3.2667408
2041,0.3,0.7474467,0.1675785
2042,0.3,0.7474467,0.1700799
2043,0.3,0.7474464,0.172581
2044,0.3,0.7474467,0.1750821
2045,0.3,0.9343083,3.3236427
2046,0.3,0.9343083,0.2251056
2047,0.3,0.9343083,0.2282322
2048,0.3,0.9343083,0.2313585
2049,0.3,0.9343083,0.2344851
2050,0.3,1.1211699,3.3867972
1990,0.4,0,0
1991,0.4,0,0
1992,0.4,0,0
1993,0.4,0,0
1994,0.4,0,0
1995,0.4,0,0
1996,0.4,0,0
1997,0.4,0,0
1998,0.4,0,0
1999,0.4,0,0
2000,0.4,0,0
2001,0.4,0,0
2002,0.4,0,0
2003,0.4,0,0
2004,0.4,0,0
2005,0.4,0,0
2006,0.4,0,0
2007,0.4,0,0
2008,0.4,0,0
2009,0.4,0,0
2010,0.4,0,0
2011,0.4,0,0
2012,0.4,0,0
2013,0.4,0,0
2014,0.4,0,0
2015,0.4,0,0
2016,0.4,0,0
2017,0.4,0,0
2018,0.4,0,0
2019,0.4,0,0
2020,0.4,0,0
2021,0.4,0,0
2022,0.4,0,0
2023,0.4,0,0
2024,0.4,0,0
2025,0.4,0.2491488,4.1780712
2026,0.4,0.2491488,0.0433536
2027,0.4,0.2491488,0.0441876
2028,0.4,0.2491488,0.0450212
2029,0.4,0.2491488,0.0458548
2030,0.4,0.4982976,4.2289284
2031,0.4,0.4982976,0.0950448
2032,0.4,0.498298,0.096712
2033,0.4,0.4982976,0.0983796
2034,0.4,0.498298,0.1000468
2035,0.4,0.7474464,4.2881228
2036,0.4,0.7474464,0.1550728
2037,0.4,0.7474464,0.157574
2038,0.4,0.7474468,0.1600752
2039,0.4,0.7474468,0.1625764
2040,0.4,0.9965956,4.3556544
2041,0.4,0.9965956,0.223438
2042,0.4,0.9965956,0.2267732
2043,0.4,0.9965952,0.230108
2044,0.4,0.9965956,0.2334428
2045,0.4,1.2457444,4.4315236
2046,0.4,1.2457444,0.3001408
2047,0.4,1.2457444,0.3043096
2048,0.4,1.2457444,0.308478
2049,0.4,1.2457444,0.3126468
2050,0.4,1.4948932,4.5157296
1990,0.5,0,0
1991,0.5,0,0
1992,0.5,0,0
1993,0.5,0,0
1994,0.5,0,0
1995,0.5,0,0
1996,0.5,0,0
1997,0.5,0,0
1998,0.5,0,0
1999,0.5,0,0
2000,0.5,0,0
2001,0.5,0,0
2002,0.5,0,0
2003,0.5,0,0
2004,0.5,0,0
2005,0.5,0,0
2006,0.5,0,0
2007,0.5,0,0
2008,0.5,0,0
2009,0.5,0,0
2010,0.5,0,0
2011,0.5,0,0
2012,0.5,0,0
2013,0.5,0,0
