tiempo,Em_Mt,id_futuro
1990,-63.33224044,id_futuro_1
1991,-59.66992548,id_futuro_1
1992,-60.49756132,id_futuro_1
1993,-60.40270355,id_futuro_1
1994,-60.25809117,id_futuro_1
1995,-61.97127834,id_futuro_1
1996,-58.85718517,id_futuro_1
1997,-61.55841522,id_futuro_1
1998,-45.21235093,id_futuro_1
1999,-57.66985938,id_futuro_1
2000,-65.94570942,id_futuro_1
2001,-66.57002968,id_futuro_1
2002,-56.9177178,id_futuro_1
2003,-69.35342554,id_futuro_1
2004,-64.22017798,id_futuro_1
2005,-63.16781914,id_futuro_1
2006,-65.86464056,id_futuro_1
2007,-54.83547569,id_futuro_1
2008,-54.56990956,id_futuro_1
2009,-57.67206523,id_futuro_1
2010,-64.49615671,id_futuro_1
2011,-59.04463864,id_futuro_1
2012,-58.1032636,id_futuro_1
2013,-64.77339325,id_futuro_1
2014,-56.90301891,id_futuro_1
2015,-46.55264505,id_futuro_1
2016,-60.61134026,id_futuro_1
2017,13.47715115,id_futuro_1
2018,-50.41284301,id_futuro_1
2019,-48.00690099,id_futuro_1
2020,-49.53094698,id_futuro_1
2021,-54.00417743,id_futuro_1
2022,-45.56844219,id_futuro_1
2023,-54.92293498,id_futuro_1
2024,-48.70022294,id_futuro_1
2025,-53.6532917,id_futuro_1
2026,-52.87324834,id_futuro_1
2027,-52.5540776,id_futuro_1
2028,-50.83830597,id_futuro_1
2029,-43.49721638,id_futuro_1
2030,-53.39576013,id_futuro_1
2031,-43.57922013,id_futuro_1
2032,-43.90313999,id_futuro_1
2033,-55.3152852,id_futuro_1
2034,-56.07807017,id_futuro_1
2035,-55.06736361,id_futuro_1
2036,-48.32664867,id_futuro_1
2037,-48.82256542,id_futuro_1
2038,-57.15707748,id_futuro_1
2039,-52.3678832,id_futuro_1
2040,-0.488561631,id_futuro_1
2041,-52.14443119,id_futuro_1
2042,-56.47858588,id_futuro_1
2043,-56.09442571,id_futuro_1
2044,-55.64526939,id_futuro_1
2045,-58.48118048,id_futuro_1
2046,-58.77638206,id_futuro_1
2047,-52.60741323,id_futuro_1
2048,-50.84559811,id_futuro_1
2049,-49.74383036,id_futuro_1
2050,-48.10004823,id_futuro_1
1990,-63.33224044,id_futuro_2
1991,-59.66992548,id_futuro_2
1992,-60.49756132,id_futuro_2
1993,-60.40270355,id_futuro_2
1994,-60.25809117,id_futuro_2
1995,-61.97127834,id_futuro_2
1996,-58.85718517,id_futuro_2
1997,-61.55841522,id_futuro_2
1998,-45.21235093,id_futuro_2
1999,-57.66985938,id_futuro_2
2000,-65.94570942,id_futuro_2
2001,-66.57002968,id_futuro_2
2002,-56.9177178,id_futuro_2
2003,-69.35342554,id_futuro_2
2004,-64.22017798,id_futuro_2
2005,-63.16781914,id_futuro_2
2006,-65.86464056,id_futuro_2
2007,-54.83547569,id_futuro_2
2008,-54.56990956,id_futuro_2
2009,-57.67206523,id_futuro_2
2010,-64.49615671,id_futuro_2
2011,-59.04463864,id_futuro_2
2012,-58.1032636,id_futuro_2
2013,-64.77339325,id_futuro_2
2014,-56.90301891,id_futuro_2
2015,-46.55264505,id_futuro_2
2016,-60.61134026,id_futuro_2
2017,13.47715115,id_futuro_2
2018,-50.41284301,id_futuro_2
2019,-48.00690099,id_futuro_2
2020,-49.53094698,id_futuro_2
2021,-48.30403656,id_futuro_2
2022,-55.39473211,id_futuro_2
2023,-53.22052306,id_futuro_2
2024,-54.81344038,id_futuro_2
2025,-45.79992946,id_futuro_2
2026,-39.72633143,id_futuro_2
2027,-42.97654207,id_futuro_2
2028,-42.96428468,id_futuro_2
2029,-53.76789636,id_futuro_2
2030,-52.15266014,id_futuro_2
2031,-57.71030256,id_futuro_2
2032,-42.31916295,id_futuro_2
2033,-54.90225257,id_futuro_2
2034,-50.84195794,id_futuro_2
2035,-53.3211621,id_futuro_2
2036,-48.19182373,id_futuro_2
2037,-56.55917787,id_futuro_2
2038,-46.35842132,id_futuro_2
2039,-60.51446217,id_futuro_2
2040,-58.57353379,id_futuro_2
2041,-53.73390462,id_futuro_2
2042,-59.07593143,id_futuro_2
2043,-57.2019249,id_futuro_2
2044,-59.60323211,id_futuro_2
2045,-50.72065981,id_futuro_2
2046,-55.15528881,id_futuro_2
2047,-45.62257497,id_futuro_2
2048,-61.18007543,id_futuro_2
2049,-57.67584609,id_futuro_2
2050,-59.38656743,id_futuro_2
1990,-63.33224044,id_futuro_3
1991,-59.66992548,id_futuro_3
1992,-60.49756132,id_futuro_3
1993,-60.40270355,id_futuro_3
1994,-60.25809117,id_futuro_3
1995,-61.97127834,id_futuro_3
1996,-58.85718517,id_futuro_3
1997,-61.55841522,id_futuro_3
1998,-45.21235093,id_futuro_3
1999,-57.66985938,id_futuro_3
2000,-65.94570942,id_futuro_3
2001,-66.57002968,id_futuro_3
2002,-56.9177178,id_futuro_3
2003,-69.35342554,id_futuro_3
2004,-64.22017798,id_futuro_3
2005,-63.16781914,id_futuro_3
2006,-65.86464056,id_futuro_3
2007,-54.83547569,id_futuro_3
2008,-54.56990956,id_futuro_3
2009,-57.67206523,id_futuro_3
2010,-64.49615671,id_futuro_3
2011,-59.04463864,id_futuro_3
2012,-58.1032636,id_futuro_3
2013,-64.77339325,id_futuro_3
2014,-56.90301891,id_futuro_3
2015,-46.55264505,id_futuro_3
2016,-60.61134026,id_futuro_3
2017,13.47715115,id_futuro_3
2018,-50.41284301,id_futuro_3
2019,-48.00690099,id_futuro_3
2020,-49.53094698,id_futuro_3
2021,-45.84758422,id_futuro_3
2022,-46.96552529,id_futuro_3
2023,-53.70715731,id_futuro_3
2024,-54.2538632,id_futuro_3
2025,-53.46454721,id_futuro_3
2026,-42.85947625,id_futuro_3
2027,-51.62700211,id_futuro_3
2028,-52.32783461,id_futuro_3
2029,-47.81454746,id_futuro_3
2030,-40.39474264,id_futuro_3
2031,-51.95015423,id_futuro_3
2032,-49.46607474,id_futuro_3
2033,-49.83518435,id_futuro_3
2034,-54.38681271,id_futuro_3
2035,-38.31251932,id_futuro_3
2036,-53.19879647,id_futuro_3
2037,-53.79007636,id_futuro_3
2038,-49.14612251,id_futuro_3
2039,-43.61247355,id_futuro_3
2040,-38.02902136,id_futuro_3
2041,-50.95360663,id_futuro_3
2042,-49.30132898,id_futuro_3
2043,-53.33424239,id_futuro_3
2044,-48.54729078,id_futuro_3
2045,-49.29873939,id_futuro_3
2046,-51.96675109,id_futuro_3
2047,-43.81921208,id_futuro_3
2048,-44.09640057,id_futuro_3
2049,-54.71015964,id_futuro_3
2050,-36.27513193,id_futuro_3
1990,-63.33224044,id_futuro_4
1991,-59.66992548,id_futuro_4
1992,-60.49756132,id_futuro_4
1993,-60.40270355,id_futuro_4
1994,-60.25809117,id_futuro_4
1995,-61.97127834,id_futuro_4
1996,-58.85718517,id_futuro_4
1997,-61.55841522,id_futuro_4
1998,-45.21235093,id_futuro_4
1999,-57.66985938,id_futuro_4
2000,-65.94570942,id_futuro_4
2001,-66.57002968,id_futuro_4
2002,-56.9177178,id_futuro_4
2003,-69.35342554,id_futuro_4
2004,-64.22017798,id_futuro_4
2005,-63.16781914,id_futuro_4
2006,-65.86464056,id_futuro_4
2007,-54.83547569,id_futuro_4
2008,-54.56990956,id_futuro_4
2009,-57.67206523,id_futuro_4
2010,-64.49615671,id_futuro_4
2011,-59.04463864,id_futuro_4
2012,-58.1032636,id_futuro_4
2013,-64.77339325,id_futuro_4
2014,-56.90301891,id_futuro_4
2015,-46.55264505,id_futuro_4
2016,-60.61134026,id_futuro_4
2017,13.47715115,id_futuro_4
2018,-50.41284301,id_futuro_4
2019,-48.00690099,id_futuro_4
2020,-49.53094698,id_futuro_4
2021,-44.90024467,id_futuro_4
2022,-45.02626129,id_futuro_4
2023,-54.41414073,id_futuro_4
2024,-49.14160326,id_futuro_4
2025,-45.36914795,id_futuro_4
2026,-54.90553583,id_futuro_4
2027,-45.65204414,id_futuro_4
2028,-53.57451536,id_futuro_4
2029,-52.83376149,id_futuro_4
2030,-53.07036878,id_futuro_4
2031,-52.78588275,id_futuro_4
2032,-41.04708892,id_futuro_4
2033,-6.717664478,id_futuro_4
2034,-40.23398086,id_futuro_4
2035,-44.86353347,id_futuro_4
2036,-53.22182025,id_futuro_4
2037,-52.80407955,id_futuro_4
2038,-53.07595824,id_futuro_4
2039,-53.8633405,id_futuro_4
2040,-41.29064044,id_futuro_4
2041,-53.58082511,id_futuro_4
2042,-40.12303377,id_futuro_4
2043,-53.68043184,id_futuro_4
2044,-55.19840385,id_futuro_4
2045,-53.11250783,id_futuro_4
2046,-23.42618662,id_futuro_4
2047,-45.04385381,id_futuro_4
2048,-54.51465619,id_futuro_4
2049,-3.225066789,id_futuro_4
2050,-47.84837008,id_futuro_4
1990,-63.33224044,id_futuro_5
1991,-59.66992548,id_futuro_5
1992,-60.49756132,id_futuro_5
1993,-60.40270355,id_futuro_5
1994,-60.25809117,id_futuro_5
1995,-61.97127834,id_futuro_5
1996,-58.85718517,id_futuro_5
1997,-61.55841522,id_futuro_5
1998,-45.21235093,id_futuro_5
1999,-57.66985938,id_futuro_5
2000,-65.94570942,id_futuro_5
2001,-66.57002968,id_futuro_5
2002,-56.9177178,id_futuro_5
2003,-69.35342554,id_futuro_5
2004,-64.22017798,id_futuro_5
2005,-63.16781914,id_futuro_5
2006,-65.86464056,id_futuro_5
2007,-54.83547569,id_futuro_5
2008,-54.56990956,id_futuro_5
2009,-57.67206523,id_futuro_5
2010,-64.49615671,id_futuro_5
2011,-59.04463864,id_futuro_5
2012,-58.1032636,id_futuro_5
2013,-64.77339325,id_futuro_5
2014,-56.90301891,id_futuro_5
2015,-46.55264505,id_futuro_5
2016,-60.61134026,id_futuro_5
2017,13.47715115,id_futuro_5
2018,-50.41284301,id_futuro_5
2019,-48.00690099,id_futuro_5
2020,-49.53094698,id_futuro_5
2021,-44.63338784,id_futuro_5
2022,-55.46167354,id_futuro_5
2023,-44.77356298,id_futuro_5
2024,-47.26533363,id_futuro_5
2025,-43.03135349,id_futuro_5
2026,-54.46439783,id_futuro_5
2027,-50.59523524,id_futuro_5
2028,-56.99612185,id_futuro_5
2029,-55.26518182,id_futuro_5
2030,-54.81585348,id_futuro_5
2031,-56.94948373,id_futuro_5
2032,-54.9813373,id_futuro_5
2033,-48.47494084,id_futuro_5
2034,-32.15177756,id_futuro_5
2035,-56.08590161,id_futuro_5
2036,-56.76521625,id_futuro_5
2037,-59.29665769,id_futuro_5
2038,13.38452189,id_futuro_5
2039,-60.24429917,id_futuro_5
2040,-60.18338468,id_futuro_5
2041,-47.91659888,id_futuro_5
2042,-45.04788017,id_futuro_5
2043,-59.96621457,id_futuro_5
2044,-49.30318316,id_futuro_5
2045,-56.08034614,id_futuro_5
2046,-55.70221395,id_futuro_5
2047,-51.99279974,id_futuro_5
2048,-61.44134879,id_futuro_5
2049,-61.19512337,id_futuro_5
2050,-54.55787724,id_futuro_5
1990,-63.33224044,id_futuro_6
1991,-59.66992548,id_futuro_6
1992,-60.49756132,id_futuro_6
1993,-60.40270355,id_futuro_6
1994,-60.25809117,id_futuro_6
1995,-61.97127834,id_futuro_6
1996,-58.85718517,id_futuro_6
1997,-61.55841522,id_futuro_6
1998,-45.21235093,id_futuro_6
1999,-57.66985938,id_futuro_6
2000,-65.94570942,id_futuro_6
2001,-66.57002968,id_futuro_6
2002,-56.9177178,id_futuro_6
2003,-69.35342554,id_futuro_6
2004,-64.22017798,id_futuro_6
2005,-63.16781914,id_futuro_6
2006,-65.86464056,id_futuro_6
2007,-54.83547569,id_futuro_6
2008,-54.56990956,id_futuro_6
2009,-57.67206523,id_futuro_6
2010,-64.49615671,id_futuro_6
2011,-59.04463864,id_futuro_6
2012,-58.1032636,id_futuro_6
2013,-64.77339325,id_futuro_6
2014,-56.90301891,id_futuro_6
2015,-46.55264505,id_futuro_6
2016,-60.61134026,id_futuro_6
2017,13.47715115,id_futuro_6
2018,-50.41284301,id_futuro_6
2019,-48.00690099,id_futuro_6
2020,-49.53094698,id_futuro_6
