tiempo,i_forestacion,m_forestacion,c_forestacion
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,0,0,0
2024,0,0,0
2025,0,0,0
2026,0,0,0
2027,0,0,0
2028,0,0,0
2029,0,0,0
2030,0,0,0
2031,0,0,0
2032,0,0,0
2033,0,0,0
2034,0,0,0
2035,0,0,0
2036,0,0,0
2037,0,0,0
2038,0,0,0
2039,0,0,0
2040,0,0,0
2041,0,0,0
2042,0,0,0
2043,0,0,0
2044,0,0,0
2045,0,0,0
2046,0,0,0
2047,0,0,0
2048,0,0,0
2049,0,0,0
2050,0,0,0
1990,0.1,0,0
1991,0.1,0,0
1992,0.1,0,0
1993,0.1,0,0
1994,0.1,0,0
1995,0.1,0,0
1996,0.1,0,0
1997,0.1,0,0
1998,0.1,0,0
1999,0.1,0,0
2000,0.1,0,0
2001,0.1,0,0
2002,0.1,0,0
2003,0.1,0,0
2004,0.1,0,0
2005,0.1,0,0
2006,0.1,0,0
2007,0.1,0,0
2008,0.1,0,0
2009,0.1,0,0
2010,0.1,0,0
2011,0.1,0,0
2012,0.1,0,0
2013,0.1,0,0
2014,0.1,0,0
2015,0.1,0,0
2016,0.1,0,0
2017,0.1,0,0
2018,0.1,0,0
2019,0.1,0,0
2020,0.1,0,0
2021,0.1,0,0
2022,0.1,0,0
2023,0.1,0,0
2024,0.1,0.0034623,1.2265945
2025,0.1,0.0375078,12.5812316
2026,0.1,0.0715533,17.1788842
2027,0.1,0.1055988,21.9092186
2028,0.1,0.1396443,26.7722345
2029,0.1,0.1736898,31.3968733
2030,0.1,0.2077354,32.8034186
2031,0.1,0.2155254,19.492449
2032,0.1,0.2233155,16.8619185
2033,0.1,0.2311056,14.1290658
2034,0.1,0.2388956,11.2938907
2035,0.1,0.2466857,8.3563933
2036,0.1,0.2544757,8.4885658
2037,0.1,0.2622658,8.6207382
2038,0.1,0.2700559,8.7529106
2039,0.1,0.277846,8.885083
2040,0.1,0.2856361,9.0172555
2041,0.1,0.2934262,9.1494278
2042,0.1,0.3012163,9.2816002
2043,0.1,0.3090063,9.4137727
2044,0.1,0.3205558,9.5459451
2045,0.1,0.3653134,9.6781175
2046,0.1,0.4100711,9.81029
2047,0.1,0.4548286,9.9424624
2048,0.1,0.4995863,10.0746348
2049,0.1,0.5443439,10.2068072
2050,0.1,0.5891015,10.3389797
1990,0.2,0,0
1991,0.2,0,0
1992,0.2,0,0
1993,0.2,0,0
1994,0.2,0,0
1995,0.2,0,0
1996,0.2,0,0
1997,0.2,0,0
1998,0.2,0,0
1999,0.2,0,0
2000,0.2,0,0
2001,0.2,0,0
2002,0.2,0,0
2003,0.2,0,0
2004,0.2,0,0
2005,0.2,0,0
2006,0.2,0,0
2007,0.2,0,0
2008,0.2,0,0
2009,0.2,0,0
2010,0.2,0,0
2011,0.2,0,0
2012,0.2,0,0
2013,0.2,0,0
2014,0.2,0,0
2015,0.2,0,0
2016,0.2,0,0
2017,0.2,0,0
2018,0.2,0,0
2019,0.2,0,0
2020,0.2,0,0
2021,0.2,0,0
2022,0.2,0,0
2023,0.2,0,0
2024,0.2,0.0069246,2.453189
2025,0.2,0.0750156,25.1624632
2026,0.2,0.1431066,34.3577684
2027,0.2,0.2111976,43.8184372
2028,0.2,0.2792886,53.544469
2029,0.2,0.3473796,62.7937466
2030,0.2,0.4154708,65.6068372
2031,0.2,0.4310508,38.984898
2032,0.2,0.446631,33.723837
2033,0.2,0.4622112,28.2581316
2034,0.2,0.4777912,22.5877814
2035,0.2,0.4933714,16.7127866
2036,0.2,0.5089514,16.9771316
2037,0.2,0.5245316,17.2414764
2038,0.2,0.5401118,17.5058212
2039,0.2,0.555692,17.770166
2040,0.2,0.5712722,18.034511
2041,0.2,0.5868524,18.2988556
2042,0.2,0.6024326,18.5632004
2043,0.2,0.6180126,18.8275454
2044,0.2,0.6411116,19.0918902
2045,0.2,0.7306268,19.356235
2046,0.2,0.8201422,19.62058
2047,0.2,0.9096572,19.8849248
2048,0.2,0.9991726,20.1492696
2049,0.2,1.0886878,20.4136144
2050,0.2,1.178203,20.6779594
1990,0.3,0,0
1991,0.3,0,0
1992,0.3,0,0
1993,0.3,0,0
1994,0.3,0,0
1995,0.3,0,0
1996,0.3,0,0
1997,0.3,0,0
1998,0.3,0,0
1999,0.3,0,0
2000,0.3,0,0
2001,0.3,0,0
2002,0.3,0,0
2003,0.3,0,0
2004,0.3,0,0
2005,0.3,0,0
2006,0.3,0,0
2007,0.3,0,0
2008,0.3,0,0
2009,0.3,0,0
2010,0.3,0,0
2011,0.3,0,0
2012,0.3,0,0
2013,0.3,0,0
2014,0.3,0,0
2015,0.3,0,0
2016,0.3,0,0
2017,0.3,0,0
2018,0.3,0,0
2019,0.3,0,0
2020,0.3,0,0
2021,0.3,0,0
2022,0.3,0,0
2023,0.3,0,0
2024,0.3,0.0103869,3.6797835
2025,0.3,0.1125234,37.7436948
2026,0.3,0.2146599,51.5366526
2027,0.3,0.3167964,65.7276558
2028,0.3,0.4189329,80.3167035
2029,0.3,0.5210694,94.1906199
2030,0.3,0.6232062,98.4102558
2031,0.3,0.6465762,58.477347
2032,0.3,0.6699465,50.5857555
2033,0.3,0.6933168,42.3871974
2034,0.3,0.7166868,33.8816721
2035,0.3,0.7400571,25.0691799
2036,0.3,0.7634271,25.4656974
2037,0.3,0.7867974,25.8622146
2038,0.3,0.8101677,26.2587318
2039,0.3,0.833538,26.655249
2040,0.3,0.8569083,27.0517665
2041,0.3,0.8802786,27.4482834
2042,0.3,0.9036489,27.8448006
2043,0.3,0.9270189,28.2413181
2044,0.3,0.9616674,28.6378353
2045,0.3,1.0959402,29.0343525
2046,0.3,1.2302133,29.43087
2047,0.3,1.3644858,29.8273872
2048,0.3,1.4987589,30.2239044
2049,0.3,1.6330317,30.6204216
2050,0.3,1.7673045,31.0169391
1990,0.4,0,0
1991,0.4,0,0
1992,0.4,0,0
1993,0.4,0,0
1994,0.4,0,0
1995,0.4,0,0
1996,0.4,0,0
1997,0.4,0,0
1998,0.4,0,0
1999,0.4,0,0
2000,0.4,0,0
2001,0.4,0,0
2002,0.4,0,0
2003,0.4,0,0
2004,0.4,0,0
2005,0.4,0,0
2006,0.4,0,0
2007,0.4,0,0
2008,0.4,0,0
2009,0.4,0,0
2010,0.4,0,0
2011,0.4,0,0
2012,0.4,0,0
2013,0.4,0,0
2014,0.4,0,0
2015,0.4,0,0
2016,0.4,0,0
2017,0.4,0,0
2018,0.4,0,0
2019,0.4,0,0
2020,0.4,0,0
2021,0.4,0,0
2022,0.4,0,0
2023,0.4,0,0
2024,0.4,0.0138492,4.906378
2025,0.4,0.1500312,50.3249264
2026,0.4,0.2862132,68.7155368
2027,0.4,0.4223952,87.6368744
2028,0.4,0.5585772,107.088938
2029,0.4,0.6947592,125.5874932
2030,0.4,0.8309416,131.2136744
2031,0.4,0.8621016,77.969796
2032,0.4,0.893262,67.447674
2033,0.4,0.9244224,56.5162632
2034,0.4,0.9555824,45.1755628
2035,0.4,0.9867428,33.4255732
2036,0.4,1.0179028,33.9542632
2037,0.4,1.0490632,34.4829528
2038,0.4,1.0802236,35.0116424
2039,0.4,1.111384,35.540332
2040,0.4,1.1425444,36.069022
2041,0.4,1.1737048,36.5977112
2042,0.4,1.2048652,37.1264008
2043,0.4,1.2360252,37.6550908
2044,0.4,1.2822232,38.1837804
2045,0.4,1.4612536,38.71247
2046,0.4,1.6402844,39.24116
2047,0.4,1.8193144,39.7698496
2048,0.4,1.9983452,40.2985392
2049,0.4,2.1773756,40.8272288
2050,0.4,2.356406,41.3559188
1990,0.5,0,0
1991,0.5,0,0
1992,0.5,0,0
1993,0.5,0,0
1994,0.5,0,0
1995,0.5,0,0
1996,0.5,0,0
1997,0.5,0,0
1998,0.5,0,0
1999,0.5,0,0
2000,0.5,0,0
2001,0.5,0,0
2002,0.5,0,0
2003,0.5,0,0
2004,0.5,0,0
2005,0.5,0,0
2006,0.5,0,0
2007,0.5,0,0
2008,0.5,0,0
2009,0.5,0,0
2010,0.5,0,0
