tiempo,i_lena,m_lena,c_lena
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,0,0,0
2024,0,0,0
2025,0,0,0
2026,0,0,0
2027,0,0,0
2028,0,0,0
2029,0,0,0
2030,0,0,0
2031,0,0,0
2032,0,0,0
2033,0,0,0
2034,0,0,0
2035,0,0,0
2036,0,0,0
2037,0,0,0
2038,0,0,0
2039,0,0,0
2040,0,0,0
2041,0,0,0
2042,0,0,0
2043,0,0,0
2044,0,0,0
2045,0,0,0
2046,0,0,0
2047,0,0,0
2048,0,0,0
2049,0,0,0
2050,0,0,0
1990,0.1,0,0
1991,0.1,0,0
1992,0.1,0,0
1993,0.1,0,0
1994,0.1,0,0
1995,0.1,0,0
1996,0.1,0,0
1997,0.1,0,0
1998,0.1,0,0
1999,0.1,0,0
2000,0.1,0,0
2001,0.1,0,0
2002,0.1,0,0
2003,0.1,0,0
2004,0.1,0,0
2005,0.1,0,0
2006,0.1,0,0
2007,0.1,0,0
2008,0.1,0,0
2009,0.1,0,0
2010,0.1,0,0
2011,0.1,0,0
2012,0.1,0,0
2013,0.1,0,0
2014,0.1,0,0
2015,0.1,0,0
2016,0.1,0,0
2017,0.1,0,0
2018,0.1,0,0
2019,0.1,0,0
2020,0.1,0,0
2021,0.1,0,0
2022,0.1,0,0
2023,0.1,0,0
2024,0.1,0.0095571,0.5317292
2025,0.1,0.0471305,1.8546628
2026,0.1,0.0836553,0.8985587
2027,0.1,0.1191316,-0.0653968
2028,0.1,0.1535595,-1.0357912
2029,0.1,0.186939,-2.0112116
2030,0.1,0.2192699,-2.9902454
2031,0.1,0.2286859,-5.119314
2032,0.1,0.2373257,-5.5077175
2033,0.1,0.2451891,-5.8833115
2034,0.1,0.2522763,-6.2450497
2035,0.1,0.2585873,-6.5918862
2036,0.1,0.264122,-6.9227752
2037,0.1,0.2688804,-7.2366706
2038,0.1,0.2728626,-7.5325264
2039,0.1,0.2760684,-7.8092967
2040,0.1,0.278498,-8.0659355
2041,0.1,0.2801513,-8.3013969
2042,0.1,0.2810285,-8.5146349
2043,0.1,0.2811292,-8.7046034
2044,0.1,0.2804538,-8.8702567
2045,0.1,0.2790021,-9.0105486
2046,0.1,0.2767741,-9.1244332
2047,0.1,0.2737698,-9.2108646
2048,0.1,0.2699893,-9.2687967
2049,0.1,0.2654325,-9.2971836
2050,0.1,0.2600995,-9.2949794
1990,0.2,0,0
1991,0.2,0,0
1992,0.2,0,0
1993,0.2,0,0
1994,0.2,0,0
1995,0.2,0,0
1996,0.2,0,0
1997,0.2,0,0
1998,0.2,0,0
1999,0.2,0,0
2000,0.2,0,0
2001,0.2,0,0
2002,0.2,0,0
2003,0.2,0,0
2004,0.2,0,0
2005,0.2,0,0
2006,0.2,0,0
2007,0.2,0,0
2008,0.2,0,0
2009,0.2,0,0
2010,0.2,0,0
2011,0.2,0,0
2012,0.2,0,0
2013,0.2,0,0
2014,0.2,0,0
2015,0.2,0,0
2016,0.2,0,0
2017,0.2,0,0
2018,0.2,0,0
2019,0.2,0,0
2020,0.2,0,0
2021,0.2,0,0
2022,0.2,0,0
2023,0.2,0,0
2024,0.2,0.0191142,1.0634584
2025,0.2,0.094261,3.7093256
2026,0.2,0.1673106,1.7971174
2027,0.2,0.2382632,-0.1307936
2028,0.2,0.307119,-2.0715824
2029,0.2,0.373878,-4.0224232
2030,0.2,0.4385398,-5.9804908
2031,0.2,0.4573718,-10.238628
2032,0.2,0.4746514,-11.015435
2033,0.2,0.4903782,-11.766623
2034,0.2,0.5045526,-12.4900994
2035,0.2,0.5171746,-13.1837724
2036,0.2,0.528244,-13.8455504
2037,0.2,0.5377608,-14.4733412
2038,0.2,0.5457252,-15.0650528
2039,0.2,0.5521368,-15.6185934
2040,0.2,0.556996,-16.131871
2041,0.2,0.5603026,-16.6027938
2042,0.2,0.562057,-17.0292698
2043,0.2,0.5622584,-17.4092068
2044,0.2,0.5609076,-17.7405134
2045,0.2,0.5580042,-18.0210972
2046,0.2,0.5535482,-18.2488664
2047,0.2,0.5475396,-18.4217292
2048,0.2,0.5399786,-18.5375934
2049,0.2,0.530865,-18.5943672
2050,0.2,0.520199,-18.5899588
1990,0.3,0,0
1991,0.3,0,0
1992,0.3,0,0
1993,0.3,0,0
1994,0.3,0,0
1995,0.3,0,0
1996,0.3,0,0
1997,0.3,0,0
1998,0.3,0,0
1999,0.3,0,0
2000,0.3,0,0
2001,0.3,0,0
2002,0.3,0,0
2003,0.3,0,0
2004,0.3,0,0
2005,0.3,0,0
2006,0.3,0,0
2007,0.3,0,0
2008,0.3,0,0
2009,0.3,0,0
2010,0.3,0,0
2011,0.3,0,0
2012,0.3,0,0
2013,0.3,0,0
2014,0.3,0,0
2015,0.3,0,0
2016,0.3,0,0
2017,0.3,0,0
2018,0.3,0,0
2019,0.3,0,0
2020,0.3,0,0
2021,0.3,0,0
2022,0.3,0,0
2023,0.3,0,0
2024,0.3,0.0286713,1.5951876
2025,0.3,0.1413915,5.5639884
2026,0.3,0.2509659,2.6956761
2027,0.3,0.3573948,-0.1961904
2028,0.3,0.4606785,-3.1073736
2029,0.3,0.560817,-6.0336348
2030,0.3,0.6578097,-8.9707362
2031,0.3,0.6860577,-15.357942
2032,0.3,0.7119771,-16.5231525
2033,0.3,0.7355673,-17.6499345
2034,0.3,0.7568289,-18.7351491
2035,0.3,0.7757619,-19.7756586
2036,0.3,0.792366,-20.7683256
2037,0.3,0.8066412,-21.7100118
2038,0.3,0.8185878,-22.5975792
2039,0.3,0.8282052,-23.4278901
2040,0.3,0.835494,-24.1978065
2041,0.3,0.8404539,-24.9041907
2042,0.3,0.8430855,-25.5439047
2043,0.3,0.8433876,-26.1138102
2044,0.3,0.8413614,-26.6107701
2045,0.3,0.8370063,-27.0316458
2046,0.3,0.8303223,-27.3732996
2047,0.3,0.8213094,-27.6325938
2048,0.3,0.8099679,-27.8063901
2049,0.3,0.7962975,-27.8915508
2050,0.3,0.7802985,-27.8849382
1990,0.4,0,0
1991,0.4,0,0
1992,0.4,0,0
1993,0.4,0,0
1994,0.4,0,0
1995,0.4,0,0
1996,0.4,0,0
1997,0.4,0,0
1998,0.4,0,0
1999,0.4,0,0
2000,0.4,0,0
2001,0.4,0,0
2002,0.4,0,0
2003,0.4,0,0
2004,0.4,0,0
2005,0.4,0,0
2006,0.4,0,0
2007,0.4,0,0
2008,0.4,0,0
2009,0.4,0,0
2010,0.4,0,0
2011,0.4,0,0
2012,0.4,0,0
2013,0.4,0,0
2014,0.4,0,0
2015,0.4,0,0
2016,0.4,0,0
2017,0.4,0,0
2018,0.4,0,0
2019,0.4,0,0
2020,0.4,0,0
2021,0.4,0,0
2022,0.4,0,0
2023,0.4,0,0
2024,0.4,0.0382284,2.1269168
2025,0.4,0.188522,7.4186512
2026,0.4,0.3346212,3.5942348
2027,0.4,0.4765264,-0.2615872
2028,0.4,0.614238,-4.1431648
2029,0.4,0.747756,-8.0448464
2030,0.4,0.8770796,-11.9609816
2031,0.4,0.9147436,-20.477256
2032,0.4,0.9493028,-22.03087
2033,0.4,0.9807564,-23.533246
2034,0.4,1.0091052,-24.9801988
2035,0.4,1.0343492,-26.3675448
2036,0.4,1.056488,-27.6911008
2037,0.4,1.0755216,-28.9466824
2038,0.4,1.0914504,-30.1301056
2039,0.4,1.1042736,-31.2371868
2040,0.4,1.113992,-32.263742
2041,0.4,1.1206052,-33.2055876
2042,0.4,1.124114,-34.0585396
2043,0.4,1.1245168,-34.8184136
2044,0.4,1.1218152,-35.4810268
2045,0.4,1.1160084,-36.0421944
2046,0.4,1.1070964,-36.4977328
2047,0.4,1.0950792,-36.8434584
2048,0.4,1.0799572,-37.0751868
2049,0.4,1.06173,-37.1887344
2050,0.4,1.040398,-37.1799176
1990,0.5,0,0
1991,0.5,0,0
1992,0.5,0,0
1993,0.5,0,0
1994,0.5,0,0
1995,0.5,0,0
1996,0.5,0,0
1997,0.5,0,0
1998,0.5,0,0
1999,0.5,0,0
2000,0.5,0,0
2001,0.5,0,0
2002,0.5,0,0
