tiempo,Em_Mt,escenario
1990,-63.33224044,Línea Base
1991,-59.66992548,Línea Base
1992,-60.49756132,Línea Base
1993,-60.40270355,Línea Base
1994,-60.25809117,Línea Base
1995,-61.97127834,Línea Base
1996,-58.85718517,Línea Base
1997,-61.55841522,Línea Base
1998,-45.21235093,Línea Base
1999,-57.66985938,Línea Base
2000,-65.94570942,Línea Base
2001,-66.57002968,Línea Base
2002,-56.9177178,Línea Base
2003,-69.35342554,Línea Base
2004,-64.22017798,Línea Base
2005,-63.16781914,Línea Base
2006,-65.86464056,Línea Base
2007,-54.83547569,Línea Base
2008,-54.56990956,Línea Base
2009,-57.67206523,Línea Base
2010,-64.49615671,Línea Base
2011,-59.04463864,Línea Base
2012,-58.1032636,Línea Base
2013,-64.77339325,Línea Base
2014,-56.90301891,Línea Base
2015,-46.55264505,Línea Base
2016,-60.61134026,Línea Base
2017,13.47715115,Línea Base
2018,-50.41284301,Línea Base
2019,-48.00690099,Línea Base
2020,-49.53094698,Línea Base
2021,-49.189857,Línea Base
2022,-51.79345,Línea Base
2023,-45.46359,Línea Base
2024,-51.772756,Línea Base
2025,-37.436412,Línea Base
2026,-38.917346,Línea Base
2027,-43.177129,Línea Base
2028,-45.009625,Línea Base
2029,-51.417241,Línea Base
2030,-48.414362,Línea Base
2031,-41.152165,Línea Base
2032,-41.721977,Línea Base
2033,-46.48201,Línea Base
2034,-38.797995,Línea Base
2035,-53.247834,Línea Base
2036,-48.874538,Línea Base
2037,-37.287321,Línea Base
2038,-50.90112,Línea Base
2039,-42.150363,Línea Base
2040,-39.71999,Línea Base
2041,-46.491293,Línea Base
2042,0.349203,Línea Base
2043,-52.85731,Línea Base
2044,-40.124294,Línea Base
2045,-54.657164,Línea Base
2046,-53.910349,Línea Base
2047,-43.974223,Línea Base
2048,-54.13978,Línea Base
2049,-50.065216,Línea Base
2050,-55.876996,Línea Base
