tiempo,i_sustitucion,m_sustitucion,c_sustitucion
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,0,0,0
2024,0,0,0
2025,0,0,0
2026,0,0,0
2027,0,0,0
2028,0,0,0
2029,0,0,0
2030,0,0,0
2031,0,0,0
2032,0,0,0
2033,0,0,0
2034,0,0,0
2035,0,0,0
2036,0,0,0
2037,0,0,0
2038,0,0,0
2039,0,0,0
2040,0,0,0
2041,0,0,0
2042,0,0,0
2043,0,0,0
2044,0,0,0
2045,0,0,0
2046,0,0,0
2047,0,0,0
2048,0,0,0
2049,0,0,0
2050,0,0,0
1990,0.1,0,0
1991,0.1,0,0
1992,0.1,0,0
1993,0.1,0,0
1994,0.1,0,0
1995,0.1,0,0
1996,0.1,0,0
1997,0.1,0,0
1998,0.1,0,0
1999,0.1,0,0
2000,0.1,0,0
2001,0.1,0,0
2002,0.1,0,0
2003,0.1,0,0
2004,0.1,0,0
2005,0.1,0,0
2006,0.1,0,0
2007,0.1,0,0
2008,0.1,0,0
2009,0.1,0,0
2010,0.1,0,0
2011,0.1,0,0
2012,0.1,0,0
2013,0.1,0,0
2014,0.1,0,0
2015,0.1,0,0
2016,0.1,0,0
2017,0.1,0,0
2018,0.1,0,0
2019,0.1,0,0
2020,0.1,0,0
2021,0.1,0,0
2022,0.1,0,0
2023,0.1,0,0
2024,0.1,-0.0010416,0.0000002
2025,0.1,-0.0012435,0.0000003
2026,0.1,-0.0014844,0.0000003
2027,0.1,-0.001772,0.0000004
2028,0.1,-0.0021154,0.0000005
2029,0.1,-0.0025253,0.0000006
2030,0.1,-0.0030146,0.0000007
2031,0.1,-0.0035989,0.0000009
2032,0.1,-0.0042963,0.000001
2033,0.1,-0.0051287,0.0000013
2034,0.1,-0.0061226,0.0000015
2035,0.1,-0.007309,0.0000018
2036,0.1,-0.0087253,0.0000022
2037,0.1,-0.010416,0.0000027
2038,0.1,-0.0124345,0.0000033
2039,0.1,-0.014844,0.000004
2040,0.1,-0.0177204,0.0000048
2041,0.1,-0.0211542,0.0000059
2042,0.1,-0.0252533,0.0000071
2043,0.1,-0.0301468,0.0000086
2044,0.1,-0.0359885,0.0000104
2045,0.1,-0.0429623,0.0000126
2046,0.1,-0.0512874,0.0000153
2047,0.1,-0.0612257,0.0000185
2048,0.1,-0.0730898,0.0000224
2049,0.1,-0.0872528,0.0000271
2050,0.1,-0.1041604,0.0000328
1990,0.2,0,0
1991,0.2,0,0
1992,0.2,0,0
1993,0.2,0,0
1994,0.2,0,0
1995,0.2,0,0
1996,0.2,0,0
1997,0.2,0,0
1998,0.2,0,0
1999,0.2,0,0
2000,0.2,0,0
2001,0.2,0,0
2002,0.2,0,0
2003,0.2,0,0
2004,0.2,0,0
2005,0.2,0,0
2006,0.2,0,0
2007,0.2,0,0
2008,0.2,0,0
2009,0.2,0,0
2010,0.2,0,0
2011,0.2,0,0
2012,0.2,0,0
2013,0.2,0,0
2014,0.2,0,0
2015,0.2,0,0
2016,0.2,0,0
2017,0.2,0,0
2018,0.2,0,0
2019,0.2,0,0
2020,0.2,0,0
2021,0.2,0,0
2022,0.2,0,0
2023,0.2,0,0
2024,0.2,-0.0020832,0.0000004
2025,0.2,-0.002487,0.0000006
2026,0.2,-0.0029688,0.0000006
2027,0.2,-0.003544,0.0000008
2028,0.2,-0.0042308,0.000001
2029,0.2,-0.0050506,0.0000012
2030,0.2,-0.0060292,0.0000014
2031,0.2,-0.0071978,0.0000018
2032,0.2,-0.0085926,0.000002
2033,0.2,-0.0102574,0.0000026
2034,0.2,-0.0122452,0.000003
2035,0.2,-0.014618,0.0000036
2036,0.2,-0.0174506,0.0000044
2037,0.2,-0.020832,0.0000054
2038,0.2,-0.024869,0.0000066
2039,0.2,-0.029688,0.000008
2040,0.2,-0.0354408,0.0000096
2041,0.2,-0.0423084,0.0000118
2042,0.2,-0.0505066,0.0000142
2043,0.2,-0.0602936,0.0000172
2044,0.2,-0.071977,0.0000208
2045,0.2,-0.0859246,0.0000252
2046,0.2,-0.1025748,0.0000306
2047,0.2,-0.1224514,0.000037
2048,0.2,-0.1461796,0.0000448
2049,0.2,-0.1745056,0.0000542
2050,0.2,-0.2083208,0.0000656
1990,0.3,0,0
1991,0.3,0,0
1992,0.3,0,0
1993,0.3,0,0
1994,0.3,0,0
1995,0.3,0,0
1996,0.3,0,0
1997,0.3,0,0
1998,0.3,0,0
1999,0.3,0,0
2000,0.3,0,0
2001,0.3,0,0
2002,0.3,0,0
2003,0.3,0,0
2004,0.3,0,0
2005,0.3,0,0
2006,0.3,0,0
2007,0.3,0,0
2008,0.3,0,0
2009,0.3,0,0
2010,0.3,0,0
2011,0.3,0,0
2012,0.3,0,0
2013,0.3,0,0
2014,0.3,0,0
2015,0.3,0,0
2016,0.3,0,0
2017,0.3,0,0
2018,0.3,0,0
2019,0.3,0,0
2020,0.3,0,0
2021,0.3,0,0
2022,0.3,0,0
2023,0.3,0,0
2024,0.3,-0.0031248,0.0000006
2025,0.3,-0.0037305,0.0000009
2026,0.3,-0.0044532,0.0000009
2027,0.3,-0.005316,0.0000012
2028,0.3,-0.0063462,0.0000015
2029,0.3,-0.0075759,0.0000018
2030,0.3,-0.0090438,0.0000021
2031,0.3,-0.0107967,0.0000027
2032,0.3,-0.0128889,0.000003
2033,0.3,-0.0153861,0.0000039
2034,0.3,-0.0183678,0.0000045
2035,0.3,-0.021927,0.0000054
2036,0.3,-0.0261759,0.0000066
2037,0.3,-0.031248,0.0000081
2038,0.3,-0.0373035,0.0000099
2039,0.3,-0.044532,0.000012
2040,0.3,-0.0531612,0.0000144
2041,0.3,-0.0634626,0.0000177
2042,0.3,-0.0757599,0.0000213
2043,0.3,-0.0904404,0.0000258
2044,0.3,-0.1079655,0.0000312
2045,0.3,-0.1288869,0.0000378
2046,0.3,-0.1538622,0.0000459
2047,0.3,-0.1836771,0.0000555
2048,0.3,-0.2192694,0.0000672
2049,0.3,-0.2617584,0.0000813
2050,0.3,-0.3124812,0.0000984
1990,0.4,0,0
1991,0.4,0,0
1992,0.4,0,0
1993,0.4,0,0
1994,0.4,0,0
1995,0.4,0,0
1996,0.4,0,0
1997,0.4,0,0
1998,0.4,0,0
1999,0.4,0,0
2000,0.4,0,0
2001,0.4,0,0
2002,0.4,0,0
2003,0.4,0,0
2004,0.4,0,0
2005,0.4,0,0
2006,0.4,0,0
2007,0.4,0,0
2008,0.4,0,0
2009,0.4,0,0
2010,0.4,0,0
2011,0.4,0,0
2012,0.4,0,0
2013,0.4,0,0
2014,0.4,0,0
2015,0.4,0,0
2016,0.4,0,0
2017,0.4,0,0
2018,0.4,0,0
2019,0.4,0,0
2020,0.4,0,0
2021,0.4,0,0
2022,0.4,0,0
2023,0.4,0,0
2024,0.4,-0.0041664,0.0000008
2025,0.4,-0.004974,0.0000012
2026,0.4,-0.0059376,0.0000012
2027,0.4,-0.007088,0.0000016
2028,0.4,-0.0084616,0.000002
2029,0.4,-0.0101012,0.0000024
2030,0.4,-0.0120584,0.0000028
2031,0.4,-0.0143956,0.0000036
2032,0.4,-0.0171852,0.000004
2033,0.4,-0.0205148,0.0000052
2034,0.4,-0.0244904,0.000006
2035,0.4,-0.029236,0.0000072
2036,0.4,-0.0349012,0.0000088
2037,0.4,-0.041664,0.0000108
2038,0.4,-0.049738,0.0000132
2039,0.4,-0.059376,0.000016
2040,0.4,-0.0708816,0.0000192
2041,0.4,-0.0846168,0.0000236
2042,0.4,-0.1010132,0.0000284
2043,0.4,-0.1205872,0.0000344
2044,0.4,-0.143954,0.0000416
2045,0.4,-0.1718492,0.0000504
2046,0.4,-0.2051496,0.0000612
2047,0.4,-0.2449028,0.000074
2048,0.4,-0.2923592,0.0000896
2049,0.4,-0.3490112,0.0001084
2050,0.4,-0.4166416,0.0001312
1990,0.5,0,0
1991,0.5,0,0
1992,0.5,0,0
1993,0.5,0,0
1994,0.5,0,0
1995,0.5,0,0
1996,0.5,0,0
1997,0.5,0,0
1998,0.5,0,0
1999,0.5,0,0
2000,0.5,0,0
2001,0.5,0,0
